,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
183,After Hours (Deluxe),13,7yBoSdMGXNEGq7Gorad5qj,After Hours,spotify:track:7yBoSdMGXNEGq7Gorad5qj,0.0784,0.657,0.572,0.00772,0.123,-6.103,0.0308,108.964,0.14,29
184,After Hours (Deluxe),14,4ZSUl7D0qSg7gIiiIv9Brd,Until I Bleed Out,spotify:track:4ZSUl7D0qSg7gIiiIv9Brd,0.444,0.249,0.37,4.44e-05,0.0911,-9.975,0.0357,125.209,0.178,23
185,After Hours (Deluxe),15,4XNB3imn7Ag2PhCkzpfaMc,Nothing Compares - Bonus Track,spotify:track:4XNB3imn7Ag2PhCkzpfaMc,0.00253,0.532,0.577,0.0437,0.234,-9.313,0.0352,131.922,0.0397,38
186,After Hours (Deluxe),16,3WLRzyWxdcdcRA2npf2RxQ,Missed You - Bonus Track,spotify:track:3WLRzyWxdcdcRA2npf2RxQ,0.115,0.689,0.374,0.000132,0.111,-10.038,0.0851,151.98,0.321,38
187,After Hours (Deluxe),17,3WwV6tZY9gVM8Q9YFEgEYA,Final Lullaby - Bonus Track,spotify:track:3WwV6tZY9gVM8Q9YFEgEYA,0.841,0.604,0.26,9.33e-05,0.327,-10.498,0.0373,100.901,0.318,33
188,After Hours (Deluxe),18,1oFAF1hdPOickyHgbuRjyX,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,spotify:track:1oFAF1hdPOickyHgbuRjyX,0.0215,0.65,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,0.593,81
189,After Hours,1,6b5P51m8xx2XA6U7sdNZ5E,Alone Again,spotify:track:6b5P51m8xx2XA6U7sdNZ5E,0.033,0.218,0.652,0.111,0.172,-7.953,0.0641,65.375,0.0599,69
190,After Hours,2,2K9Ovn1o2bTGqbsABGC6m3,Too Late,spotify:track:2K9Ovn1o2bTGqbsABGC6m3,0.052,0.638,0.863,5.46e-05,0.685,-5.221,0.132,120.077,0.226,68
191,After Hours,3,6kWxIqQDsKFYCJGbU4AjCX,Hardest To Love,spotify:track:6kWxIqQDsKFYCJGbU4AjCX,0.0909,0.467,0.608,8.83e-05,0.125,-7.847,0.0707,80.957,0.108,68
192,After Hours,4,4BGZF4oLbTL0pWm7C18pbv,Scared To Live,spotify:track:4BGZF4oLbTL0pWm7C18pbv,0.131,0.504,0.498,0.0,0.0929,-8.24,0.0499,87.221,0.196,67
193,After Hours,5,3WlbeuhfRSqU7ylK2Ui5U7,Snowchild,spotify:track:3WlbeuhfRSqU7ylK2Ui5U7,0.162,0.55,0.611,6.88e-05,0.121,-7.475,0.137,148.062,0.243,67
194,After Hours,6,1sOW4PuG5X3Ie3EXUhAopJ,Escape From LA,spotify:track:1sOW4PuG5X3Ie3EXUhAopJ,0.0456,0.404,0.524,0.00316,0.199,-8.996,0.0593,145.74,0.168,69
195,After Hours,7,6bnF93Rx87YqUBLSgjiMU8,Heartless,spotify:track:6bnF93Rx87YqUBLSgjiMU8,0.0236,0.537,0.746,1.01e-06,0.156,-5.507,0.15,170.062,0.252,79
196,After Hours,8,3orEOtd8CPL8GFlpRpKuoE,Faith,spotify:track:3orEOtd8CPL8GFlpRpKuoE,0.612,0.375,0.605,0.0448,0.147,-7.268,0.0729,175.946,0.128,68
197,After Hours,9,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,0.334,90
198,After Hours,10,7szuecWAPwGoV1e5vGu8tl,In Your Eyes,spotify:track:7szuecWAPwGoV1e5vGu8tl,0.00285,0.667,0.719,8.1e-05,0.0736,-5.371,0.0346,100.021,0.717,78
199,After Hours,11,5QO79kh1waicV47BqGRL3g,Save Your Tears,spotify:track:5QO79kh1waicV47BqGRL3g,0.0212,0.68,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,0.644,88
200,After Hours,12,40U8d12pC5UHqmHwXjHjjl,Repeat After Me (Interlude),spotify:track:40U8d12pC5UHqmHwXjHjjl,0.0323,0.555,0.619,0.000224,0.0917,-7.918,0.0314,95.032,0.141,65
